event_date,event_time,event_name,event_url,event_img_thumbnail_link,performer_url,special_guest_names,event_price,door_price,event_status,ticket_url,venue_name,venue_url,event_age
"Saturday, March 21, 2020",8:00 pm,THE DISTRICTS,https://first-avenue.com/event/2020/03/thedistricts,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/The-Districts-032120-600x480web.jpg?itok=z0evXRlw,https://first-avenue.com/event/2020/03/thedistricts,with AND THE KIDS,$18.00,$20.00,Buy Tickets,https://www.etix.com/ticket/p/5164945/the-districtswith-and-the-kids-stpaul-turf-club?cobrand=first-avenue,Turf Club,https://first-avenue.com/venue/turf-club,21+
"Saturday, March 21, 2020",9:00 pm,TRANSMISSION’s Big Adventure — A 19th Anniversary Dance Party with DJ JAKE RUDH,https://first-avenue.com/event/2020/03/transmission,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/TransmissionsBigAdventure-600x398web.jpg?itok=1mDEZ1_6,https://first-avenue.com/event/2020/03/transmission,,$10.00,$12.00,Buy Tickets,https://www.etix.com/ticket/p/3336199/transmissions-big-adventure-a-19th-anniversary-dance-party-with-dj-jake-rudh-minneapolis-first-avenue?cobrand=first-avenue,Mainroom,https://first-avenue.com/venue/mainroom,18+
"Sunday, March 22, 2020",7:00 pm,TROUT STEAK REVIVAL,https://first-avenue.com/event/2020/03/troutsteakrevival,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/TSR_032220-391x600web.jpg?itok=1kJqA7jo,https://first-avenue.com/event/2020/03/troutsteakrevival,with CORPSE REVIVER,,$15.00,Buy Tickets,https://www.etix.com/ticket/p/4651615/trout-steak-revival-stpaul-turf-club?cobrand=first-avenue,Turf Club,https://first-avenue.com/venue/turf-club,21+
"Sunday, March 22, 2020",7:00 pm,VUNDABAR,https://first-avenue.com/event/2020/03/vundabar,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Vundabar-032220-388x600web.jpg?itok=kSDLeNIe,https://first-avenue.com/event/2020/03/vundabar,with BOYSCOTT and THE OPHELIAS,$16.00,$18.00,Buy Tickets,https://www.etix.com/ticket/p/2975518/vundabarwith-boyscott-and-the-ophelias-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Monday, March 23, 2020",7:00 pm,WELCOME TO NIGHT VALE,https://first-avenue.com/event/2020/03/welcometonightvale,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/WelcometoNightVale-032320-387x600web.jpg?itok=pYD9rd5C,https://first-avenue.com/event/2020/03/welcometonightvale,with ELIZA RICKMAN,,$32.50,Buy Tickets,https://www.etix.com/ticket/p/6681917/welcome-to-night-vale-minneapolis-the-fitzgerald-theater?cobrand=first-avenue,The Fitzgerald Theater,https://first-avenue.com/venue/fitzgerald-theater,ALL AGES
"Monday, March 23, 2020",7:00 pm,HUNNY,https://first-avenue.com/event/2020/03/hunny,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Hunny-032320-456x600web.jpg?itok=qXNg713A,https://first-avenue.com/event/2020/03/hunny,"with BAY FACTION, HEART TO GOLD and MUNDY’S BAY",$15.00,$17.00,Buy Tickets,https://www.etix.com/ticket/p/3725979/hunnywith-bay-faction-and-mundys-bay-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Monday, March 23, 2020",7:00 pm,SILVERSUN PICKUPS,https://first-avenue.com/event/2020/03/silversunpickups,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Silversun_Pickups-032220-462x600web.jpg?itok=ZFntFNJ7,https://first-avenue.com/event/2020/03/silversunpickups,with THE NEW REGIME,,$35.00,Buy Tickets,https://www.etix.com/ticket/p/6420252/silversun-pickups-minneapolis-first-avenue?cobrand=first-avenue,Mainroom,https://first-avenue.com/venue/mainroom,18+
"Tuesday, March 24, 2020",7:00 pm,FRAGILE CANYONS,https://first-avenue.com/event/2020/03/fragilecanyons,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/FragileCanyons-032420-387x600web.jpg?itok=Tz-tA58P,https://first-avenue.com/event/2020/03/fragilecanyons,with FAITH BOBLETT and STONE ARCH ISLES,$10.00,$12.00,Buy Tickets,https://www.etix.com/ticket/p/8555505/fragile-canyonswith-faith-boblett-and-stone-arch-isles-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Tuesday, March 24, 2020",7:00 pm,AVI KAPLAN,https://first-avenue.com/event/2020/03/avikaplan,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/AviKaplan-032420-388x600web.jpg?itok=junp3FTb,https://first-avenue.com/event/2020/03/avikaplan,with PAPER WINGS,$18.00,$20.00,Sold Out,,The Cedar Cultural Center,https://first-avenue.com/venue/cedar,ALL AGES
"Tuesday, March 24, 2020",7:00 pm,ADELITAS WAY,https://first-avenue.com/event/2020/03/adelitasway,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/AdelitasWay-032420-387x600v2.jpg?itok=RqddA4im,https://first-avenue.com/event/2020/03/adelitasway,"with BLACKLITE DISTRICT, ANOTHER DAY DAWNS and TAKING DAWN",,$20.00,Buy Tickets,https://www.etix.com/ticket/p/5844607/adelitas-way-stpaul-turf-club?cobrand=first-avenue,Turf Club,https://first-avenue.com/venue/turf-club,21+
"Wednesday, March 25, 2020",7:00 pm,VÉRITÉ,https://first-avenue.com/event/2020/03/verite,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Verite-032520-388x600web.jpg?itok=5ISmSR8i,https://first-avenue.com/event/2020/03/verite,with BIIANCO,$16.00,$18.00,Buy Tickets,https://www.etix.com/ticket/p/6358070/vérité-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Wednesday, March 25, 2020",7:30 pm,A Collaboration Between UNIFORM & THE BODY,https://first-avenue.com/event/2020/03/uniform-thebody,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/UniformTheBody-032520-388x600web.jpg?itok=J1qdtrUA,https://first-avenue.com/event/2020/03/uniform-thebody,with DREAMDECAY and SANDWORM,,$15.00,Buy Tickets,https://www.etix.com/ticket/p/7286013/a-collaboration-between-uniform-the-body-stpaul-turf-club?cobrand=first-avenue,Turf Club,https://first-avenue.com/venue/turf-club,21+
